Date,event,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2016-11-11,0,10.622688293457031,11.028938293457031,10.243520736694336,10.586576461791992,9.363702774047852,5903776,-0.0260921213759258,-0.067058100511243,-0.1560168800849032,0.0212078624889401,0.0466432262118045,0.0858955363488937,-1,-1,-1
2016-11-14,0,10.442131996154783,10.71296501159668,10.192362785339355,10.517362594604492,9.302483558654783,5734632,-0.0065593551197923,-0.0876073725963287,-0.1620897259589981,0.0212022842952281,0.0466806408468981,0.0859716424547996,-1,-1,-1
2016-11-16,0,10.39097499847412,10.74305820465088,10.192362785339355,10.565511703491213,9.345069885253906,4591826,0.0045676117893079,-0.1273889696251623,-0.1696141686464222,0.0211962879833711,0.0467730454766672,0.0860565795476934,1,-1,-1
2016-11-17,0,10.721993446350098,10.73402976989746,10.081021308898926,10.129169464111328,8.95913028717041,5132158,-0.0421757565811811,-0.1408204938052167,-0.1923718408642482,0.0212151534242592,0.0468880652949402,0.0861710673495404,-1,-1,-1
2016-11-18,0,10.020835876464844,10.321762084960938,10.020835876464844,10.111112594604492,8.943158149719238,2882768,-0.001784251251526,-0.117783140455738,-0.1843037572198838,0.0212089794948381,0.0469645408081643,0.0862741320729231,0,-1,-1
2016-11-21,0,10.237502098083496,10.559493064880373,10.093057632446287,10.511344909667969,9.297159194946287,5881512,0.0388200655661632,-0.0332238069729541,-0.1602260307888791,0.0212232329962118,0.0469585096551252,0.0863467979027804,1,-1,-1
2016-11-22,0,10.68588161468506,11.095141410827637,10.53240966796875,11.022918701171877,9.749642372131348,7559333,0.0475214821067665,0.0403897965097383,-0.1301131484238908,0.0212477247795459,0.0469538980657516,0.086387351051306,1,1,-1
2016-11-23,0,11.019909858703612,11.056020736694336,10.688891410827637,11.050002098083496,9.77359676361084,5934016,0.0024539942628781,0.0494031458924087,-0.1485326629685544,0.0212415475269852,0.0469541174116956,0.0864464702633518,1,1,-1
2016-11-24,0,10.959725379943848,11.043984413146973,10.812271118164062,10.893521308898926,9.635191917419434,1206608,-0.014262380641871,0.0305731534612297,-0.1196229308218374,0.0212382843030215,0.0469453847460562,0.0864771047752322,-1,1,-1
2016-11-25,0,10.655789375305176,10.857410430908203,10.604632377624512,10.773151397705078,9.528722763061523,1828688,-0.0111111799407506,0.0616377301016601,-0.0861263579385089,0.0212338839751694,0.046953760231043,0.0864820712472422,-1,1,-1
2016-11-28,0,10.7310209274292,10.88750171661377,10.628705978393556,10.761114120483398,9.518075942993164,3214079,-0.0011179650836237,0.0623040162695625,-0.1271843608846611,0.0212276945445636,0.0469625967840034,0.0865193442923676,0,1,-1
2016-11-29,0,10.737038612365724,10.767131805419922,10.023844718933104,10.023844718933104,8.86596965789795,7982693,-0.0709723656239877,-0.0474884149205885,-0.1830218157275161,0.0212915598235727,0.0469642217179624,0.0866188850402329,-1,-1,-1
2016-11-30,0,10.198382377624512,10.52639102935791,10.105094909667969,10.430094718933104,9.225295066833496,7112711,0.0397286238195197,-0.0552812732078353,-0.1205361559515613,0.0213066295362026,0.0469710361893958,0.0866497995816833,1,-1,-1
2016-12-01,0,10.348844528198242,10.348844528198242,9.605558395385742,9.780095100402832,8.65037727355957,6767112,-0.0643461423978217,-0.1220814098685351,-0.2101361846703029,0.0213577712030895,0.0470534364107666,0.0867865867145127,-1,-1,-1
2016-12-02,0,9.587501525878906,10.044910430908203,9.479168891906738,9.86736297607422,8.727567672729492,4835407,0.0088834341042217,-0.0989355951224424,-0.1894628690237103,0.0213525303739521,0.0471030952687358,0.0868935849985528,1,-1,-1
2016-12-05,0,9.825234413146973,9.897456169128418,9.49722385406494,9.629631996154783,8.517293930053711,5836318,-0.0243876313055362,-0.1122120464872279,-0.1652495105882747,0.0213546472704724,0.0471702972143009,0.0869697066470192,-1,-1,-1
2016-12-06,0,10.020835876464844,10.436113357543944,9.975696563720703,10.387965202331545,9.188030242919922,13664820,0.0758029332343808,-0.0352911481692235,-0.0859969835740956,0.0214261324800758,0.0471650753396804,0.0869738209390132,1,-1,-1
2016-12-07,0,10.396992683410645,10.836344718933104,10.303706169128418,10.74305820465088,9.502107620239258,6821610,0.0336118535837164,0.0692930710384807,-0.0663750469556724,0.021434923884602,0.0471794346454715,0.0869667297326313,1,1,-1
2016-12-08,0,10.833335876464844,10.836344718933104,10.451160430908203,10.655789375305176,9.424921989440918,3385549,-0.008156449812085,0.021407997406876,-0.118880705585899,0.0214296648081103,0.0471679868274587,0.0869953219038575,-1,1,-1
2016-12-09,0,10.709956169128418,10.854400634765623,10.354863166809082,10.53240966796875,9.315792083740234,4897549,-0.0116462094417323,0.0741079303629653,-0.1017826826265046,0.0214253843868043,0.0471864421031759,0.0870101521464408,-1,1,-1
2016-12-12,0,10.360881805419922,10.360881805419922,10.023844718933104,10.198382377624512,9.02034854888916,1642264,-0.0322280210455195,0.0329964752132243,-0.1091890990710193,0.0214335772859301,0.047178607957599,0.0870305791791733,-1,1,-1
2016-12-13,0,10.081021308898926,10.439123153686523,9.897456169128418,10.439123153686523,9.23327922821045,3765045,0.0233314725322593,0.0807155790510198,-0.0401183586221393,0.0214345065433954,0.047203136418431,0.0870125736172482,1,1,-1
2016-12-14,0,10.463196754455566,10.484262466430664,10.15023422241211,10.234493255615234,9.052287101745604,4030891,-0.0197968828607616,-0.0148842370441225,-0.033823120106975,0.0214337841442463,0.047191136747163,0.0869926880296162,-1,-1,-1
2016-12-15,0,10.129169464111328,10.156251907348633,9.780095100402832,9.996761322021484,8.84201717376709,3964429,-0.0235025342162692,-0.0719986248441083,-0.050766299203452,0.0214352663446587,0.0472112227050022,0.0869785027421041,-1,-1,-1
2016-12-16,0,10.081021308898926,10.210418701171877,9.93055820465088,9.93055820465088,8.783462524414062,3198128,-0.006644482299729,-0.0704866573317525,-0.0619783932924892,0.0214296984727432,0.0472298717958063,0.0869691451174782,-1,-1,-1
2016-12-19,0,9.93356704711914,10.141205787658691,9.897456169128418,9.981715202331545,8.82870864868164,2570066,0.005138249077567,-0.053702198812453,-0.0146643876337409,0.0214237878995268,0.0472352080260417,0.0869452028027458,1,-1,-1
2016-12-20,0,10.038890838623049,10.062965393066406,9.93055820465088,10.011808395385742,8.855324745178223,3277882,0.0030102963724429,-0.0184638813944906,-0.009869840009772,0.0214176667952907,0.0472240193847948,0.0869206477570514,1,-1,-1
