Date,event,Open,High,Low,Close,Adj Close,Volume,WClose,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
2015-02-26,1,8.066665649414062,8.09666633605957,7.276666164398193,7.416666030883789,6.099052429199219,3606900,6.520871378081862,-0.0831839636446667,0.1227389598690051,-0.0593284231177763,0.0286147496899179,0.084114099490897,0.1624123505098975,-1,1,-1
2015-02-27,0,6.633333206176758,6.699999809265137,5.340000152587891,5.340000152587891,4.391318321228027,10418100,7.994686990482897,-0.3285039366684267,-0.2635159025491984,-0.3797523261180169,0.0338561070082046,0.0852807908072238,0.1635816172076869,-1,-1,-1
2015-03-02,0,5.233333110809326,5.663332939147949,5.233333110809326,5.566666126251221,4.577715873718262,4362000,8.079512717743494,0.0415706732275056,-0.2281608980431254,-0.342017126026913,0.0338840880968627,0.0861033295721396,0.1644588688003007,1,-1,-1
2015-03-03,0,5.656665802001953,5.656665802001953,5.380000114440918,5.4466657638549805,4.479033946990967,2128200,8.167286074715008,-0.021792769854825,-0.367630714353635,-0.3132104218263921,0.0338530189756396,0.0883722565403753,0.1651355098769872,-1,-1,-1
2015-03-04,0,5.400000095367432,5.483333110809326,5.013332843780518,5.110000133514404,4.202179431915283,1888800,8.300446538603532,-0.0638040832799127,-0.4229242597953951,-0.3747748635598723,0.0339804330258131,0.0912944011600069,0.1662053976264086,-1,-1,-1
2015-03-05,0,5.170000076293945,5.539999961853027,5.099999904632568,5.383333206176758,4.426953315734863,1556100,8.277398898627812,0.0521083052826032,-0.4036057749377222,-0.250626077616129,0.0340524756278686,0.0938318574639679,0.1665182811209261,1,-1,-1
2015-03-06,0,5.333333015441895,5.516665935516357,5.25,5.456665992736816,4.487258434295654,2166600,8.288458140815397,0.0135303132235958,-0.3068914980694596,-0.2235099061265325,0.0340098566100711,0.0951850363992483,0.1667045954205689,1,-1,-1
2015-03-09,0,5.396666049957275,5.46999979019165,5.0,5.0,4.111721038818359,2398800,6.967086441771102,-0.0874002364705561,-0.0657877978715891,-0.228462618046911,0.0342902848686891,0.0951022216672063,0.1669073872136596,-1,-1,-1
2015-03-10,0,5.0,5.179999828338623,4.926665782928467,5.066666126251221,4.166543960571289,2013000,6.866990608765124,0.0132452206463253,-0.0941132504527695,-0.2516798457005029,0.0342474233514334,0.0950884956180455,0.1672084552408422,1,-1,-1
2015-03-11,0,5.13666582107544,5.313333034515381,5.053332805633545,5.216666221618652,4.289895534515381,2065800,6.578912918871383,0.0291754759710101,-0.0431450046269344,-0.2650640508830642,0.0342350509769259,0.0949689685247993,0.1675668685861129,1,-1,-1
2015-03-12,0,5.263332843780518,5.486666202545166,5.263332843780518,5.333333015441895,4.385835647583008,2122200,6.018211128191043,0.0221177955276824,0.0427768741806608,-0.117783083977305,0.0342064546996939,0.0948599918555969,0.1674119897853254,1,1,-1
